time,gibbs,gibbs,,
164,0.154453511,0.453373694,-1.2292E-05,-3.8873E-05
165,0.154453511,0.453372979,-1.2292E-05,-3.9588E-05
166,0.15445351,0.453372247,-1.2293E-05,-4.032E-05
167,0.15445351,0.453371498,-1.2293E-05,-4.1069E-05
168,0.154453509,0.45337073,-1.2294E-05,-4.1837E-05
169,0.154453509,0.453369944,-1.2294E-05,-4.2623E-05
170,0.154453509,0.453369139,-1.2294E-05,-4.3428E-05
171,0.154453508,0.453368314,-1.2295E-05,-4.4253E-05
172,0.154453508,0.45336747,-1.2295E-05,-4.5097E-05
173,0.154453507,0.453366605,-1.2296E-05,-4.5962E-05
174,0.154453507,0.453365719,-1.2296E-05,-4.6848E-05
175,0.154453506,0.453364811,-1.2297E-05,-4.7756E-05
176,0.154453506,0.453363882,-1.2297E-05,-4.8685E-05
177,0.154453505,0.45336293,-1.2298E-05,-4.9637E-05
178,0.154453505,0.453361955,-1.2298E-05,-5.0612E-05
179,0.154453505,0.453360956,-1.2298E-05,-5.1611E-05
180,0.154453504,0.453359933,-1.2299E-05,-5.2634E-05
181,0.154453504,0.453358886,-1.2299E-05,-5.3681E-05
182,0.154453503,0.453357813,-1.23E-05,-5.4754E-05
183,0.154453503,0.453356713,-1.23E-05,-5.5854E-05
184,0.154453503,0.453355588,-1.23E-05,-5.6979E-05
185,0.154453502,0.453354434,-1.2301E-05,-5.8133E-05
186,0.154453502,0.453353253,-1.2301E-05,-5.9314E-05
187,0.154453501,0.453352043,-1.2302E-05,-6.0524E-05
188,0.154453501,0.453350804,-1.2302E-05,-6.1763E-05
189,0.154453501,0.453349534,-1.2302E-05,-6.3033E-05
190,0.1544535,0.453348234,-1.2303E-05,-6.4333E-05
191,0.1544535,0.453346902,-1.2303E-05,-6.5665E-05
192,0.154453499,0.453345538,-1.2304E-05,-6.7029E-05
193,0.154453499,0.45334414,-1.2304E-05,-6.8427E-05
194,0.154453499,0.453342708,-1.2304E-05,-6.9859E-05
195,0.154453498,0.453341242,-1.2305E-05,-7.1325E-05
196,0.154453498,0.453339739,-1.2305E-05,-7.2828E-05
197,0.154453497,0.4533382,-1.2306E-05,-7.4367E-05
198,0.154453497,0.453336624,-1.2306E-05,-7.5943E-05
199,0.154453497,0.453335009,-1.2306E-05,-7.7558E-05
200,0.154453496,0.453333354,-1.2307E-05,-7.9213E-05
201,0.154453496,0.453331659,-1.2307E-05,-8.0908E-05
202,0.154453496,0.453329923,-1.2307E-05,-8.2644E-05
203,0.154453495,0.453328144,-1.2308E-05,-8.4423E-05
204,0.154453495,0.453326322,-1.2308E-05,-8.6245E-05
205,0.154453495,0.453324455,-1.2308E-05,-8.8112E-05
206,0.154453494,0.453322543,-1.2309E-05,-9.0024E-05
207,0.154453494,0.453320584,-1.2309E-05,-9.1983E-05
208,0.154453494,0.453318576,-1.2309E-05,-9.3991E-05
209,0.154453493,0.45331652,-1.231E-05,-9.6047E-05
210,0.154453493,0.453314413,-1.231E-05,-9.8154E-05
211,0.154453493,0.453312255,-1.231E-05,-0.000100312
212,0.154453492,0.453310043,-1.2311E-05,-0.000102524
213,0.154453492,0.453307778,-1.2311E-05,-0.000104789
214,0.154453492,0.453305456,-1.2311E-05,-0.000107111
215,0.154453491,0.453303078,-1.2312E-05,-0.000109489
216,0.154453491,0.453300641,-1.2312E-05,-0.000111926
217,0.154453491,0.453298145,-1.2312E-05,-0.000114422
218,0.15445349,0.453295587,-1.2313E-05,-0.00011698
219,0.15445349,0.453292966,-1.2313E-05,-0.000119601
220,0.15445349,0.45329028,-1.2313E-05,-0.000122287
221,0.154453489,0.453287529,-1.2314E-05,-0.000125038
222,0.154453489,0.453284709,-1.2314E-05,-0.000127858
223,0.154453489,0.45328182,-1.2314E-05,-0.000130747
224,0.154453488,0.45327886,-1.2315E-05,-0.000133707
225,0.154453488,0.453275827,-1.2315E-05,-0.00013674
226,0.154453488,0.453272719,-1.2315E-05,-0.000139848
227,0.154453487,0.453269534,-1.2316E-05,-0.000143033
228,0.154453487,0.453266271,-1.2316E-05,-0.000146296
229,0.154453487,0.453262927,-1.2316E-05,-0.00014964
230,0.154453487,0.4532595,-1.2316E-05,-0.000153067
